2000	56	131	97	178
2001	107	126	147	178
2002	157	123	201	178
2003	211	126	251	178
2004	261	127	302	178
2005	313	127	355	178
2006	365	125	409	178
2007	419	127	461	178
2010	9	128	46	178
2020	8	754	45	804
2021	55	757	96	804
2022	106	760	165	804
2023	175	742	227	804
2024	237	743	291	804
2025	301	735	355	804
2026	365	730	416	804
2027	426	738	464	804
2028	474	741	510	804
2029	520	725	555	804
2030	565	711	599	804
2031	609	719	659	804
2032	669	760	728	804
2040	8	504	45	554
2041	55	506	95	554
2042	105	503	148	554
2043	158	496	213	554
2044	223	499	278	554
2045	288	497	332	554
2046	342	501	383	554
2047	393	497	434	554
2048	444	497	496	554
2049	506	500	552	554
2050	562	496	604	554
2051	614	502	655	554
2052	665	500	699	554
2053	709	497	758	554
2060	8	2404	50	2450
2061	60	2398	115	2450
2062	125	2402	205	2450
2063	215	2401	276	2450
2064	286	2400	345	2450
2065	354	2401	413	2450
2070	55	842	96	884
2071	111	808	156	884
2072	166	827	223	884
2073	233	842	291	884
2074	301	836	362	884
2075	372	831	430	884
2076	440	826	493	884
